pr_title,pr_url,pr_number,state,author_name,author_url,created_at,updated_at,closed_at,merged_at,assignee_name,assignee_url,requested_reviewers,labels,milestone_title,commit_sha,commit_ref,base_branch,description,review_comments_url,commits_url,statuses_url,pr_author_association
Fix ambiguous instructions in Step 48 of Decimal to Binary Converter challenge,https://github.com/freeCodeCamp/freeCodeCamp/pull/56007,56007,open,FranThe3rd,https://github.com/FranThe3rd,2024-09-04T23:43:29Z,2024-09-04T23:57:04Z,,,,,[],"['scope: curriculum', 'platform: learn', 'scope: i18n']",,ad8c280a3e203f3964432590cecbafe903af8937,issue-#55995,main,"Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Closes #55995

<!-- Feel free to add any additional description of changes below this line -->
",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/56007/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/56007/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/ad8c280a3e203f3964432590cecbafe903af8937,NONE
feat(curriculum): add inventory management lab,https://github.com/freeCodeCamp/freeCodeCamp/pull/56004,56004,open,Dario-DC,https://github.com/Dario-DC,2024-09-04T15:34:37Z,2024-09-04T15:38:00Z,,,,,[],"['status: waiting review', 'scope: curriculum', 'platform: learn', 'scope: i18n', 'frontend cert']",,242af7b933e5f8e8651f69762d699253c631c874,inventory-management-lab,main,"Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Closes #XXXXX

<!-- Feel free to add any additional description of changes below this line -->
",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/56004/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/56004/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/242af7b933e5f8e8651f69762d699253c631c874,CONTRIBUTOR
fix(curriculum): change wrong quotation mark mentioned,https://github.com/freeCodeCamp/freeCodeCamp/pull/56003,56003,open,ilenia-magoni,https://github.com/ilenia-magoni,2024-09-04T15:04:19Z,2024-09-04T18:38:13Z,,,,,[],"['status: waiting review', 'scope: curriculum', 'new javascript course']",,61a65fb06da35bee8b02a8391fa326c05ccc9602,ilenia-magoni/issue55995,main,"Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Closes #55995

<!-- Feel free to add any additional description of changes below this line -->
",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/56003/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/56003/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/61a65fb06da35bee8b02a8391fa326c05ccc9602,CONTRIBUTOR
fix: correct question options for integer size in numpy-introduction-b,https://github.com/freeCodeCamp/freeCodeCamp/pull/56002,56002,open,Teddydesta,https://github.com/Teddydesta,2024-09-04T15:03:06Z,2024-09-04T17:05:15Z,,,,,[],"['status: blocked', 'scope: curriculum']",,b48caf5121439d19bcc55aa4c7807d4e10f61149,fix/numpy-intro-b-question,main,"### Description

This pull request addresses issue #55999, which reports an incorrect option in the ""Data Analysis with Python - NumPy Introduction B"" lesson. The issue specifically relates to the question about the memory consumption of an integer in plain Python.

#### Problem

The current question options provide the following choices:

- 32 bits
- 20 bytes
- 16 bytes
- 8 bits

However, according to the issue reporter and further verification, the correct size of an integer `5` in plain Python is 28 bytes, which is not included in the available options.

Here's a screenshot showing the original incorrect options:

![image](https://github.com/user-attachments/assets/14e40ab0-4e08-4019-b0f8-85e568e30453)
#### Solution

To fix this issue, I have updated the `numpy-introduction-b.md` file in the following way:

- Replaced the incorrect option ""32 bits"" with the correct option ""28 bytes"".
- Updated the `## --video-solution--` section to reflect the index of the correct option (1, since ""28 bytes"" is now the first option).

By making these changes, the question now accurately reflects the memory consumption of an integer in plain Python, providing learners with the correct information and ensuring the integrity of the lesson content.

After making the changes, the options now appear correctly:

![image](https://github.com/user-attachments/assets/01fce3ac-d5f0-4bbf-8490-84fce68481c2)
![image](https://github.com/user-attachments/assets/2458c66a-626c-4848-b0e1-59a54d84a106)

#### Testing

I have tested the changes locally by following these steps:

1. Opened the freeCodeCamp application or the local development server.
2. Navigated to the ""Data Analysis with Python - NumPy Introduction B"" lesson.
3. Verified that the question options now include the correct option ""28 bytes"" and that the video solution index is updated accordingly.

Everything appears to be working as expected, and the lesson content is now accurate.

#### Additional Notes

While working on this issue, I also noticed that the issue description mentioned the size of the integer `5` as 28 bytes, which includes 24 bytes for the integer object itself and 4 bytes for the reference count. However, since the question specifically asks about the memory consumption of the integer `5` in plain Python, I have updated the options to reflect the total size of 28 bytes, as per the issue reporter's observation.

If there are any concerns or additional feedback, please let me know. I'm happy to make further adjustments or provide more information as needed.
",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/56002/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/56002/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/b48caf5121439d19bcc55aa4c7807d4e10f61149,NONE
fix(client): lower jaw test result announcements,https://github.com/freeCodeCamp/freeCodeCamp/pull/55997,55997,open,ojeytonwilliams,https://github.com/ojeytonwilliams,2024-09-04T08:52:12Z,2024-09-04T08:52:24Z,,,,,[],['platform: learn'],,9d31f546d563db442dd9606177d8746732a6c7aa,fix/lower-jaw-announcements,main,"- **fix(client): lower jaw annoucements**
- **feat: refresh lower jaw on changes**

Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

The issue was caused by React batching renders for some events, but not others. Since it's not something we can (easily?) control, I tried to make sure that the lower jaw works regardless. i.e. if `attempts` changes on a separate render to `hint`, that's fine, and it should work if they change on the same render.

This _should_ keep the screen reader behaviour we want, but I'm not 100% sure what the desired behaviour actually is. It's quite possible I broke something, though I did check that Orca still reads the hints when you run the tests (and only once!)

The last commit changes the UX a bit, so I'm happy to either not do that or create a separate PR for it. @ahmaxed could you weigh in on the UX?

Closes https://github.com/freeCodeCamp/freeCodeCamp/issues/55986

<!-- Feel free to add any additional description of changes below this line -->
",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55997/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55997/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/9d31f546d563db442dd9606177d8746732a6c7aa,CONTRIBUTOR
fix: audio not loading on ios,https://github.com/freeCodeCamp/freeCodeCamp/pull/55993,55993,open,moT01,https://github.com/moT01,2024-09-03T19:23:16Z,2024-09-03T19:25:49Z,,,,,[],['platform: learn'],,bcf08027ed226d2fc33465ec02e2718ed73984d5,fix/english-audio-on-iphone,main,"The `canplaythrough` event wasn't firing on pages where the audio `startTimestamp` was `0`. I don't know how much we need to worry about the audio being loaded - the files are smaller than the images. I think this will work.

Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [ ] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [ ] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [ ] My pull request targets the `main` branch of freeCodeCamp.
- [ ] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Closes #XXXXX

<!-- Feel free to add any additional description of changes below this line -->
",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55993/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55993/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/bcf08027ed226d2fc33465ec02e2718ed73984d5,MEMBER
feat(curriculum): add house painting lab,https://github.com/freeCodeCamp/freeCodeCamp/pull/55988,55988,open,Dario-DC,https://github.com/Dario-DC,2024-09-03T10:18:19Z,2024-09-04T16:12:00Z,,,,,[],"['status: waiting review', 'scope: curriculum', 'platform: learn', 'scope: i18n', 'frontend cert']",,50601dd2f2179213cef07a438f1666add0c13072,house-painting-lab,main,"Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Closes #XXXXX

<!-- Feel free to add any additional description of changes below this line -->
",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55988/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55988/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/50601dd2f2179213cef07a438f1666add0c13072,CONTRIBUTOR
feat(client): collapsible descriptions,https://github.com/freeCodeCamp/freeCodeCamp/pull/55985,55985,open,ojeytonwilliams,https://github.com/ojeytonwilliams,2024-09-02T15:02:29Z,2024-09-03T05:49:57Z,,,,,[],"['scope: curriculum', 'platform: learn']",,5bca712ee36a7643d732da7af520568bfc86f01e,feat/hidable-descriptions,main,"- **feat(client): collapsible description**
- **REMOVE: example task**

Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

This is a very basic demo to continue the conversation.  For instances, I think it could be improved by moving at least the collapsible descriptions to below the video, if not all descriptions. Also, the copy could use some work - ""More information"" is okay, but probably not ideal.

Once everyone's happy with the design, I'll apply it to the other challenge type(s). Presumably multiple choice, but I wasn't sure if it should be on dialogues, too.

<!-- Feel free to add any additional description of changes below this line -->
",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55985/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55985/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/5bca712ee36a7643d732da7af520568bfc86f01e,CONTRIBUTOR
feat(curriculum): add rock paper scissors workshop,https://github.com/freeCodeCamp/freeCodeCamp/pull/55957,55957,open,jdwilkin4,https://github.com/jdwilkin4,2024-08-29T16:25:26Z,2024-09-05T02:55:57Z,,,jdwilkin4,https://github.com/jdwilkin4,"[{'reviewer_name': 'Ksound22', 'reviewer_url': 'https://github.com/Ksound22'}, {'reviewer_name': 'moT01', 'reviewer_url': 'https://github.com/moT01'}]","['status: waiting review', 'scope: curriculum', 'platform: learn', 'scope: i18n', 'frontend cert']",,b9a5f19b664d6417bbf823e31a6a8900724336f4,curriculum-rock-paper-scissors-game,main,"Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55957/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55957/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/b9a5f19b664d6417bbf823e31a6a8900724336f4,CONTRIBUTOR
feat: adding loan qualification checker,https://github.com/freeCodeCamp/freeCodeCamp/pull/55955,55955,open,Ksound22,https://github.com/Ksound22,2024-08-28T15:17:20Z,2024-09-03T14:22:44Z,,,,,[],"['scope: curriculum', 'status: waiting update', 'platform: learn', 'scope: i18n', 'frontend cert']",,a24d41c7e2819217650d04141fb5285bc23c6b65,feat/loan-qualification-checker,main,"Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Closes #XXXXX

<!-- Feel free to add any additional description of changes below this line -->
",https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55955/comments,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/pulls/55955/commits,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/statuses/a24d41c7e2819217650d04141fb5285bc23c6b65,MEMBER
